;;;;;;;;;;;;;;Performance;;;;;;;;;
Rk;Season;Team;Comp;W;MP;W;D;L;Pts;Pts/MP;LgRank;Min;Subs;GF;GA;GD;Poss;CS;CS%;G-PK;PK;PKatt;PKm
105;2020-2021;Metz;fr Ligue 1;12;38;12;11;15;47;1.24;10th;3,42;133;44;48;-4;45.2;8;21.1;35;7;11;4
106;2017-2018;Amiens;fr Ligue 1;12;38;12;9;17;45;1.18;13th;3,42;111;37;42;-5;43.3;11;28.9;33;3;4;1
107;2017-2018;Guingamp;fr Ligue 1;12;38;12;11;15;47;1.24;12th;3,42;113;48;59;-11;49.7;11;28.9;40;6;7;1
108;2016-2017;Rennes;fr Ligue 1;12;38;12;14;12;50;1.32;9th;3,42;110;36;42;-6;52.0;12;31.6;33;2;3;1
109;2016-2017;Saint-Étienne;fr Ligue 1;12;38;12;14;12;50;1.32;8th;3,42;111;41;42;-1;49.8;14;36.8;35;5;6;1
110;2015-2016;Bordeaux;fr Ligue 1;12;38;12;14;12;50;1.32;11th;3,42;114;50;57;-7;50.8;11;28.9;47;1;2;1
111;2015-2016;Nantes;fr Ligue 1;12;38;12;12;14;48;1.26;14th;3,42;109;33;44;-11;49.2;15;39.5;30;0;0;0
112;2014-2015;Toulouse;fr Ligue 1;12;38;12;6;20;42;1.11;17th;3,42;102;43;64;-21;49.1;7;18.4;39;3;3;0
113;2014-2015;Bastia;fr Ligue 1;12;38;12;11;15;47;1.24;12th;3,42;95;37;46;-9;48.9;12;31.6;30;5;5;0
114;2014-2015;Caen;fr Ligue 1;12;38;12;10;16;46;1.21;13th;3,42;104;54;55;-1;45.2;7;18.4;45;6;6;0
115;2014-2015;Reims;fr Ligue 1;12;38;12;8;18;44;1.16;15th;3,42;113;47;66;-19;48.9;9;23.7;42;3;3;0
116;2014-2015;Lorient;fr Ligue 1;12;38;12;7;19;43;1.13;16th;3,42;107;44;50;-6;49.6;10;26.3;36;5;5;0
117;2023-2024;Toulouse;fr Ligue 1;11;34;11;10;13;43;1.26;11th;3,06;154;42;46;-4;48.4;6;17.6;36;6;9;3
118;2022-2023;Brest;fr Ligue 1;11;38;11;11;16;44;1.16;14th;3,42;160;44;54;-10;44.9;9;23.7;36;7;8;1
119;2021-2022;Reims;fr Ligue 1;11;38;11;13;14;46;1.21;12th;3,42;168;43;44;-1;42.2;11;28.9;38;4;6;2
120;2020-2021;Strasbourg;fr Ligue 1;11;38;11;9;18;42;1.11;15th;3,42;144;49;58;-9;45.7;10;26.3;39;10;12;2
121;2020-2021;Lorient;fr Ligue 1;11;38;11;9;18;42;1.11;16th;3,42;163;50;68;-18;44.6;5;13.2;40;9;10;1
122;2020-2021;Brest;fr Ligue 1;11;38;11;8;19;41;1.08;17th;3,42;146;50;66;-16;49.3;7;18.4;45;3;4;1
123;2019-2020;Nice;fr Ligue 1;11;28;11;8;9;41;1.46;5th;2,52;82;41;38;3;54.6;4;14.3;36;5;5;0
124;2019-2020;Montpellier;fr Ligue 1;11;28;11;7;10;40;1.43;8th;2,52;74;35;34;1;47.6;8;28.6;31;2;5;3
125;2019-2020;Angers;fr Ligue 1;11;28;11;6;11;39;1.39;11th;2,52;80;28;33;-5;45.3;12;42.9;26;1;1;0
126;2019-2020;Strasbourg;fr Ligue 1;11;27;11;5;11;38;1.41;10th;2,43;80;32;32;0;49.6;8;29.6;29;3;4;1
127;2019-2020;Lyon;fr Ligue 1;11;28;11;7;10;40;1.43;7th;2,52;81;42;27;15;56.2;9;32.1;37;5;6;1
128;2019-2020;Nantes;fr Ligue 1;11;28;11;4;13;37;1.32;13th;2,52;71;28;31;-3;48.0;10;35.7;21;2;2;0
129;2019-2020;Monaco;fr Ligue 1;11;28;11;7;10;40;1.43;9th;2,52;76;44;44;0;50.9;7;25.0;40;4;4;0
130;2018-2019;Strasbourg;fr Ligue 1;11;38;11;16;11;49;1.29;11th;3,42;109;58;48;10;50.1;9;23.7;52;5;7;2
131;2017-2018;Montpellier;fr Ligue 1;11;38;11;18;9;51;1.34;10th;3,42;110;36;33;3;47.0;14;36.8;36;0;2;2
132;2016-2017;Metz;fr Ligue 1;11;38;11;10;17;43;1.13;14th;3,42;105;39;72;-33;42.4;11;28.9;29;8;9;1
133;2015-2016;Lorient;fr Ligue 1;11;38;11;13;14;46;1.21;15th;3,42;113;47;58;-11;49.0;8;21.1;39;7;7;0
134;2015-2016;Guingamp;fr Ligue 1;11;38;11;11;16;44;1.16;16th;3,42;105;47;56;-9;42.8;13;34.2;44;2;3;1
135;2014-2015;Evian;fr Ligue 1;11;38;11;4;23;37;0.97;18th;3,42;113;41;62;-21;45.8;9;23.7;36;1;2;1
136;2014-2015;Nantes;fr Ligue 1;11;38;11;12;15;45;1.18;14th;3,42;109;29;40;-11;47.1;11;28.9;22;4;6;2
137;2023-2024;Montpellier;fr Ligue 1;10;34;10;12;12;42;1.24;12th;3,06;140;43;48;-5;44.6;10;29.4;34;7;7;0
